date	title	body	link	linkLabel
2026-02-25	New publication!	Our large-scale functional dissection of GWAS and eQTL variants has been published in Nature. This was one of the first projects started in the Tewhey Lab, and we are thrilled to see it in print. Congratulations to Layla, Jacob, and all co-authors.	https://www.nature.com/articles/s41586-026-10121-6	Nature
2025-11-25	John Butts defends!!	The first graduate student of the Tewhey Lab has successfully defended his thesis. Congratulations to the newly minted Dr. John Butts!		
2024-10-23	Synthetic CRE paper published	The CODA manuscript has been published in Nature. The work describes the first fully synthetic cis-regulatory elements in mammals and demonstrates that synthetic CREs can outperform natural CREs found in the human genome.	https://www.nature.com/articles/s41586-024-08070-z	Nature
2023-02-06	Ryan gives promotion seminar for Associate Professor at JAX	Congratulations to Ryan, who just gave his promotion seminar. The title of his talk was 'Defining the genetic basis of complex traits and disease through the (de)coding of regulatory syntax.'		
2022-12-16	MPRAduo out now in Cell Genomics	Our work on characterizing genome-wide RE1 silencers using MPRAduo is out in Cell Genomics. Our team, led by post-doc Kousuke Mouri, modified MPRA to test repressive elements and characterized ~13,000 human RE1.	https://www.cell.com/cell-genomics/pdfExtended/S2666-979X(22)00192-6	Read the paper
2022-06-11	New members joining the Tewhey Lab	We're excited to welcome new members joining the lab this summer. Welcome aboard!		
2022-05-05	Autoimmune GWAS work published at Nature Genetics	Postdoctoral Associate Kousuke Mouri's first author paper 'Prioritization of autoimmune disease-associated genetic variants that perturb regulatory element activity in T cells' is now out at Nature Genetics. Using MPRA, 18,000 GWAS variants across 6 T-cell autoimmune diseases were tested for functional activity.	https://www.nature.com/articles/s41588-022-01056-5	Nature Genetics
